"Fecha_Formateada","Numero_Carta","Parte","Numero_Frases","Media_Largo_Frases","Max_Palabras","Min_Palabras","Num_Interrogativas","Num_Exclamativas","Media_Interrogativas","Media_Exclamativas","Frecuencia_Corazon","Frecuencia_Suicidio"
"1771-05-04",2,1,31,18.94,42,3,6,5,0.19,0.16,5,0
"1771-05-10",3,1,7,41.43,128,13,0,1,0,0.14,2,0
"1771-05-12",4,1,8,28.38,42,12,0,0,0,0,1,0
"1771-05-13",5,1,9,15.78,32,2,2,3,0.22,0.33,2,0
"1771-05-15",6,1,13,18,58,3,0,0,0,0,0,0
"1771-05-17",7,1,35,18.2,86,2,4,8,0.11,0.23,3,1
"1771-05-22",8,1,12,37.42,86,4,0,2,0,0.17,1,0
"1771-05-26",9,1,28,24.36,67,3,2,3,0.07,0.11,1,0
"1771-05-27",10,1,19,27.74,56,6,0,0,0,0,0,0
"1771-05-30",11,1,23,26.09,54,9,3,0,0.13,0,0,0
"1771-06-16",12,1,142,21.42,91,1,4,15,0.03,0.11,4,0
"1771-06-19",13,1,11,18.73,44,5,0,1,0,0.09,0,0
"1771-06-21",14,1,20,28.85,86,3,0,9,0,0.45,1,0
"1771-06-29",15,1,15,22.6,58,5,2,5,0.13,0.33,1,0
"1771-07-01",16,1,59,27.71,93,2,3,5,0.05,0.08,5,0
"1771-07-06",17,1,22,22.32,56,1,0,3,0,0.14,3,0
"1771-07-08",18,1,18,10.94,28,1,1,10,0.06,0.56,1,0
"1771-07-10",19,1,6,10.67,19,1,1,4,0.17,0.67,0,1
"1771-07-11",20,1,11,32.09,54,9,0,0,0,0,0,2
"1771-07-13",21,1,8,16.12,37,2,1,4,0.12,0.5,2,0
"1771-07-16",22,1,20,13.75,40,1,1,7,0.05,0.35,1,0
"1771-07-18",23,1,15,14.87,34,3,3,3,0.2,0.2,1,0
"1771-07-19",24,1,3,14,27,6,0,1,0,0.33,0,0
"1771-07-20",25,1,6,19,46,6,2,0,0.33,0,0,0
"1771-07-24",26,1,5,32.4,74,12,0,0,0,0,0,0
"1771-07-26",27,1,3,17.33,22,13,0,0,0,0,0,0
"1771-07-26",28,1,5,31.8,50,15,1,0,0.2,0,0,0
"1771-07-30",29,1,29,17.72,55,1,1,9,0.03,0.31,1,0
"1771-08-08",30,1,17,19.94,38,3,3,1,0.18,0.06,1,0
