"palabra","frecuencia.Var1","frecuencia.Freq","documento"
1,"6",8,"trad_gonzalez_garcia.pdf"
2,"abajo",7,"trad_gonzalez_garcia.pdf"
3,"abalanzar",2,"trad_gonzalez_garcia.pdf"
4,"abandona",2,"trad_gonzalez_garcia.pdf"
5,"abandonado",4,"trad_gonzalez_garcia.pdf"
6,"abandonar",28,"trad_gonzalez_garcia.pdf"
7,"abandonaro",1,"trad_gonzalez_garcia.pdf"
8,"abandonarte",1,"trad_gonzalez_garcia.pdf"
9,"abanico",1,"trad_gonzalez_garcia.pdf"
10,"abarca",1,"trad_gonzalez_garcia.pdf"
11,"abarcar",2,"trad_gonzalez_garcia.pdf"
12,"abatido",2,"trad_gonzalez_garcia.pdf"
13,"abejorro",1,"trad_gonzalez_garcia.pdf"
14,"abiertamente",1,"trad_gonzalez_garcia.pdf"
15,"abierto",12,"trad_gonzalez_garcia.pdf"
16,"abismo",7,"trad_gonzalez_garcia.pdf"
17,"abolición",1,"trad_gonzalez_garcia.pdf"
18,"abovedar",1,"trad_gonzalez_garcia.pdf"
19,"abr",3,"trad_gonzalez_garcia.pdf"
20,"abracer",1,"trad_gonzalez_garcia.pdf"
21,"abrazar",4,"trad_gonzalez_garcia.pdf"
22,"abrazo",2,"trad_gonzalez_garcia.pdf"
23,"abrí",1,"trad_gonzalez_garcia.pdf"
24,"abrigo",1,"trad_gonzalez_garcia.pdf"
25,"abril",1,"trad_gonzalez_garcia.pdf"
26,"abrir",10,"trad_gonzalez_garcia.pdf"
27,"abrirmar",2,"trad_gonzalez_garcia.pdf"
28,"abrirme",1,"trad_gonzalez_garcia.pdf"
29,"abro",2,"trad_gonzalez_garcia.pdf"
30,"absolutamente",1,"trad_gonzalez_garcia.pdf"
31,"absoluto",3,"trad_gonzalez_garcia.pdf"
32,"absorbir",3,"trad_gonzalez_garcia.pdf"
33,"absten",1,"trad_gonzalez_garcia.pdf"
34,"abstracción",1,"trad_gonzalez_garcia.pdf"
35,"abuela",1,"trad_gonzalez_garcia.pdf"
36,"abuelo",1,"trad_gonzalez_garcia.pdf"
37,"aburrimiento",1,"trad_gonzalez_garcia.pdf"
